,Area,Date,Unadjusted CPI Index
488,"Seattle-Tacoma-Bellevue, WA",2020-10-01,284.505
489,"St. Louis, MO-IL",2020-10-01,234.108
490,Urban Alaska,2020-10-01,228.343
491,"Boston-Cambridge-Newton, MA-NH",2020-10-01,
492,"Dallas-Fort Worth-Arlington, TX",2020-10-01,
493,"Denver-Aurora-Lakewood, CO",2020-10-01,
494,"Minneapolis-St.Paul-Bloomington, MN-WI",2020-10-01,
495,"Riverside-San Bernardino-Ontario, CA(4)",2020-10-01,
496,"San Diego-Carlsbad, CA",2020-10-01,
497,"Tampa-St. Petersburg-Clearwater, FL(8)",2020-10-01,
498,Urban Hawaii,2020-10-01,
499,"Washington-Arlington-Alexandria, DC-VA-MD-WV(6)",2020-10-01,
500,U.S. city average,2020-11-01,260.229
501,Region and area size(2),2020-11-01,
502,Northeast,2020-11-01,273.543
503,Northeast - Size Class A,2020-11-01,277.308
504,Northeast - Size Class B/C(3),2020-11-01,160.685
505,New England(4),2020-11-01,104.815
506,Middle Atlantic(4),2020-11-01,104.929
507,Midwest,2020-11-01,241.316
508,Midwest - Size Class A,2020-11-01,242.349
509,Midwest - Size Class B/C(3),2020-11-01,154.126
510,East North Central(4),2020-11-01,104.456
511,West North Central(4),2020-11-01,105.164
512,South,2020-11-01,250.255
513,South - Size Class A,2020-11-01,254.791
514,South - Size Class B/C(3),2020-11-01,158.15
515,South Atlantic(4),2020-11-01,106.085
516,East South Central(4),2020-11-01,103.71
517,West South Central(4),2020-11-01,103.382
518,West,2020-11-01,276.875
519,West - Size Class A,2020-11-01,285.451
520,West - Size Class B/C(3),2020-11-01,161.069
521,Mountain(4),2020-11-01,107.726
522,Pacific(4),2020-11-01,107.535
523,Size classes,2020-11-01,
524,Size Class A(5),2020-11-01,240.133
525,Size Class B/C(3),2020-11-01,158.306
526,Selected local areas,2020-11-01,
527,"Chicago-Naperville-Elgin, IL-IN-WI",2020-11-01,244.61
